product_id,product_name,price
1,product_000001,30
2,product_000002,91
3,product_000003,37
4,product_000004,145
5,product_000005,128
6,product_000006,66
7,product_000007,145
8,product_000008,51
9,product_000009,44
10,product_000010,53
11,product_000011,13
12,product_000012,104
13,product_000013,102
14,product_000014,24
15,product_000015,14
16,product_000016,38
17,product_000017,72
18,product_000018,16
19,product_000019,46
20,product_000020,94
21,product_000021,132
22,product_000022,134
23,product_000023,37
24,product_000024,10
25,product_000025,17
26,product_000026,138
27,product_000027,135
28,product_000028,37
29,product_000029,16
30,product_000030,61
31,product_000031,148
32,product_000032,69
33,product_000033,7
34,product_000034,135
35,product_000035,111
36,product_000036,78
37,product_000037,9
38,product_000038,43
39,product_000039,80
40,product_000040,14
41,product_000041,32
42,product_000042,122
43,product_000043,122
44,product_000044,150
45,product_000045,30
46,product_000046,91
47,product_000047,4
48,product_000048,95
49,product_000049,132
50,product_000050,143
51,product_000051,36
52,product_000052,116
53,product_000053,68
54,product_000054,77
55,product_000055,20
56,product_000056,111
57,product_000057,39
58,product_000058,54
59,product_000059,72
60,product_000060,55
61,product_000061,120
62,product_000062,54
63,product_000063,20
64,product_000064,126
65,product_000065,77
66,product_000066,142
67,product_000067,75
68,product_000068,150
69,product_000069,34
70,product_000070,86
71,product_000071,74
72,product_000072,60
73,product_000073,89
74,product_000074,144
75,product_000075,13
76,product_000076,10
77,product_000077,76
78,product_000078,71
79,product_000079,97
80,product_000080,38
81,product_000081,150
82,product_000082,127
83,product_000083,36
84,product_000084,95
85,product_000085,131
86,product_000086,54
87,product_000087,115
88,product_000088,7
89,product_000089,128
90,product_000090,27
91,product_000091,21
92,product_000092,6
93,product_000093,63
94,product_000094,44
95,product_000095,97
96,product_000096,64
97,product_000097,139
98,product_000098,85
99,product_000099,36
100,product_000100,26
101,product_000101,11
102,product_000102,52
103,product_000103,54
104,product_000104,129
105,product_000105,92
106,product_000106,92
107,product_000107,67
108,product_000108,10
109,product_000109,120
110,product_000110,102
111,product_000111,117
112,product_000112,4
113,product_000113,130
114,product_000114,42
115,product_000115,139
116,product_000116,64
117,product_000117,4
118,product_000118,122
119,product_000119,122
120,product_000120,45
121,product_000121,71
122,product_000122,95
123,product_000123,70
124,product_000124,104
125,product_000125,108
126,product_000126,149
127,product_000127,81
128,product_000128,17
129,product_000129,29
130,product_000130,23
131,product_000131,129
132,product_000132,127
133,product_000133,67
134,product_000134,26
135,product_000135,118
136,product_000136,119
137,product_000137,92
138,product_000138,100
139,product_000139,72
140,product_000140,2
141,product_000141,103
142,product_000142,8
143,product_000143,8
144,product_000144,36
145,product_000145,49
146,product_000146,116
147,product_000147,56
148,product_000148,16
149,product_000149,146
150,product_000150,125
151,product_000151,121
152,product_000152,66
153,product_000153,33
154,product_000154,11
155,product_000155,76
156,product_000156,127
157,product_000157,88
158,product_000158,45
159,product_000159,133
160,product_000160,73
161,product_000161,64
162,product_000162,93
163,product_000163,49
164,product_000164,109
165,product_000165,41
166,product_000166,118
167,product_000167,80
168,product_000168,54
169,product_000169,63
